区域,省份,城市,商圈名称,商圈记录粒度,代表商场,商场点评摘要,商场样本数,高端定位样本数,大众定位样本数,街区型样本数,日均客流量_万人次,单店月租金估计_万元,商铺面积估计_平方米,商业密度代理_商场样本数,消费能力代理_收入社零综合,交通可达性代理_公共交通客运,年轻客群代理_pct,成本压力代理_租金,政策支持代理,问题一可用指标数,城镇居民人均可支配收入_元,收入同比增长_pct,城市平均商铺租金_元每月每平米,核心商圈租金_元每月每平米,核心商圈空置率_pct,首店政策数量,首店政策文件,指标粒度说明,建议评分方向
西南区,四川,成都,华联商厦,商圈/商场聚合,华联商厦,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,双楠洋华堂2店,商圈/商场聚合,双楠洋华堂2店,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,太平洋,商圈/商场聚合,太平洋,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,成都友谊,商圈/商场聚合,成都友谊,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,成都好一些县城双流\华阳镇\新都\温江\,商圈/商场聚合,成都好一些县城双流\华阳镇\新都\温江\,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,成都百货,商圈/商场聚合,成都百货,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,摩尔百盛,商圈/商场聚合,摩尔百盛,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,时代百盛,商圈/商场聚合,时代百盛,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,春熙洋华堂1店,商圈/商场聚合,春熙洋华堂1店,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
西南区,四川,成都,王府井,商圈/商场聚合,王府井,,1,0,0,0,,,,1,12.351,0.0,20.0,585.0,1,6,59509.0,4.4,24.33,585.0,8.68,2,成都市消费新业态新模式新场景试点；成都首发首店支持政策,商场样本/点评为商圈聚合；人口、收入、社零、交通、餐饮、政策多为城市级代理；客流/核心租金仅部分重点商圈有明细。,正向: 商场样本数、收入社零、公共交通客运、餐饮集聚、年轻客群、政策支持；逆向或成本约束: 租金/空置率。
